electrode_number,E_Brain,X,Y,Z,position_marker,E_EEG,position
17,SFI,190.77663993835444,280.87383604049694,281.8177146911619,Y,E17,"[190.77663993835444, 280.87383604049694, 281.8177146911619]"
18,SF2,187.52017784118655,275.16819334030197,282.45048141479487,Y,E18,"[187.52017784118655, 275.16819334030197, 282.45048141479487]"
19,SF3,184.40453910827637,268.214259624481,284.25411605834984,Y,E19,"[184.40453910827637, 268.214259624481, 284.25411605834984]"
20,SF4,181.04245948791504,260.396632671356,285.3572959899899,Y,E20,"[181.04245948791504, 260.396632671356, 285.3572959899899]"
21,SF5,179.02699089050296,254.05926084518396,288.03371810913086,Y,E21,"[179.02699089050296, 254.05926084518396, 288.03371810913086]"
22,SF6,178.17454338073736,248.12227964401296,288.7503318786619,Y,E22,"[178.17454338073736, 248.12227964401296, 288.7503318786619]"
23,SF7,178.27728843688965,241.96987485885595,290.4369468688968,Y,E23,"[178.27728843688965, 241.96987485885595, 290.4369468688968]"
24,SF8,176.88118553161624,236.62118101119995,292.18728256225586,Y,E24,"[176.88118553161624, 236.62118101119995, 292.18728256225586]"
26,SF10,184.79825401306155,275.37778806686396,276.6857261657718,Y,E26,"[184.79825401306155, 275.37778806686396, 276.6857261657718]"
27,SF11,182.15316200256345,268.86762571334793,278.91598129272484,Y,E27,"[182.15316200256345, 268.86762571334793, 278.91598129272484]"
28,SF12,178.10849189758306,260.170558452606,279.7526054382329,Y,E28,"[178.10849189758306, 260.170558452606, 279.7526054382329]"
29,SF13,176.60027122497556,253.85515928268396,281.9563865661619,Y,E29,"[176.60027122497556, 253.85515928268396, 281.9563865661619]"
30,SF14,175.09860038757324,248.43804502487194,283.39599227905285,Y,E30,"[175.09860038757324, 248.43804502487194, 283.39599227905285]"
31,SF15,175.32652091979986,240.94387388229396,285.32665634155285,Y,E31,"[175.32652091979986, 240.94387388229396, 285.32665634155285]"
32,SF16,174.54994773864746,234.92316770553595,286.07261276245083,Y,E32,"[174.54994773864746, 234.92316770553595, 286.07261276245083]"
33,SF17,187.76988792419434,282.68639707565296,267.68966293334984,Y,E33,"[187.76988792419434, 282.68639707565296, 267.68966293334984]"
34,SF18,183.02871513366694,275.21186399459793,269.56100082397484,Y,E34,"[183.02871513366694, 275.21186399459793, 269.56100082397484]"
35,SF19,179.60737419128415,268.469035625458,271.8179588317869,Y,E35,"[179.60737419128415, 268.469035625458, 271.8179588317869]"
36,SF20,177.17588615417486,260.63900327682495,273.03530502319285,Y,E36,"[177.17588615417486, 260.63900327682495, 273.03530502319285]"
37,SF21,174.90968132019046,253.74721860885595,274.5836143493649,Y,E37,"[174.90968132019046, 253.74721860885595, 274.5836143493649]"
38,SF22,174.17236518859863,246.70458555221595,276.6333885192869,Y,E38,"[174.17236518859863, 246.70458555221595, 276.6333885192869]"
39,SF23,174.19983482360846,239.26772642135595,278.84518051147484,Y,E39,"[174.19983482360846, 239.26772642135595, 278.84518051147484]"
40,SF24,174.38088417053225,233.43037748336795,279.4725761413579,Y,E40,"[174.38088417053225, 233.43037748336795, 279.4725761413579]"
41,SF25,187.31851005554194,281.86629819869995,261.7294425964359,Y,E41,"[187.31851005554194, 281.86629819869995, 261.7294425964359]"
42,SF26,183.04814720153803,275.0529742240909,261.79764938354487,Y,E42,"[183.04814720153803, 275.0529742240909, 261.79764938354487]"
43,SF27,179.21426200866694,267.52988767623896,263.56222152709984,Y,E43,"[179.21426200866694, 267.52988767623896, 263.56222152709984]"
44,SF28,176.45661735534665,260.194346904755,265.6810874938968,Y,E44,"[176.45661735534665, 260.194346904755, 265.6810874938968]"
45,SF29,174.65529441833496,253.24134397506694,267.2049064636228,Y,E45,"[174.65529441833496, 253.24134397506694, 267.2049064636228]"
46,SF30,173.77680778503415,246.79017210006694,269.2947654724119,Y,E46,"[173.77680778503415, 246.79017210006694, 269.2947654724119]"
47,SF31,174.29607200622556,239.42888975143396,271.0496330261228,Y,E47,"[174.29607200622556, 239.42888975143396, 271.0496330261228]"
48,SF32,174.38633537292486,231.95964384078997,272.90728378295887,Y,E48,"[174.38633537292486, 231.95964384078997, 272.90728378295887]"
49,LSF1,190.79863548278803,275.3989214897159,249.94350814819285,Y,E49,"[190.79863548278803, 275.3989214897159, 249.94350814819285]"
50,LSF2,185.17513084411627,270.224544048309,252.29101943969687,Y,E50,"[185.17513084411627, 270.224544048309, 252.29101943969687]"
51,LSF3,180.65268898010254,264.17122983932495,254.38503646850586,Y,E51,"[180.65268898010254, 264.17122983932495, 254.38503646850586]"
52,LSF4,180.37714195251465,258.17109251022293,256.34792709350586,Y,E52,"[180.37714195251465, 258.17109251022293, 256.34792709350586]"
53,LSF5,178.76968574523926,251.12694883346595,259.30617904663086,Y,E53,"[178.76968574523926, 251.12694883346595, 259.30617904663086]"
54,LSF6,176.06995964050296,244.39483213424694,261.5885581970218,Y,E54,"[176.06995964050296, 244.39483213424694, 261.5885581970218]"
55,LSF7,174.63229179382324,237.73232603073095,264.8743858337399,Y,E55,"[174.63229179382324, 237.73232603073095, 264.8743858337399]"
56,LSF8,174.15379524230954,229.19703245162995,267.2266502380369,Y,E56,"[174.15379524230954, 229.19703245162995, 267.2266502380369]"
73,PF1,186.48534965515137,207.01591062545793,317.8376274108889,Y,E73,"[186.48534965515137, 207.01591062545793, 317.8376274108889]"
74,PF2,185.36478233337405,195.06553220748907,315.87377548217785,Y,E74,"[185.36478233337405, 195.06553220748907, 315.87377548217785]"
75,PF3,185.69354820251465,186.76921415328974,314.2173728942869,Y,E75,"[185.69354820251465, 186.76921415328974, 314.2173728942869]"
76,PF4,185.86013603210444,178.13728666305545,312.1093101501468,Y,E76,"[185.86013603210444, 178.13728666305545, 312.1093101501468]"
77,PF5,188.00552940368655,169.71177244186404,309.87098312377884,Y,E77,"[188.00552940368655, 169.71177244186404, 309.87098312377884]"
78,PF6,177.82343864440915,209.39863157272293,310.01197433471685,Y,E78,"[177.82343864440915, 209.39863157272293, 310.01197433471685]"
79,PF7,176.92833137512204,198.01783323287964,307.8209190368649,Y,E79,"[176.92833137512204, 198.01783323287964, 307.8209190368649]"
80,PF8,178.67316246032715,189.47223997116083,306.76586532592785,Y,E80,"[178.67316246032715, 189.47223997116083, 306.76586532592785]"
81,PF9,179.13842582702634,181.10898160934445,304.66556930541987,Y,E81,"[179.13842582702634, 181.10898160934445, 304.66556930541987]"
82,PF10,183.18729209899905,171.64528989791876,302.3848533630369,Y,E82,"[183.18729209899905, 171.64528989791876, 302.3848533630369]"
83,PF11,174.28811073303225,212.33377408981295,303.0814933776859,Y,E83,"[174.28811073303225, 212.33377408981295, 303.0814933776859]"
84,PF12,174.73791313171384,200.85559415817266,300.4592094421389,Y,E84,"[174.73791313171384, 200.85559415817266, 300.4592094421389]"
85,PF13,175.70388603210444,191.87882566452026,298.70791244506887,Y,E85,"[175.70388603210444, 191.87882566452026, 298.70791244506887]"
86,PF14,176.32808113098145,183.98399686813354,297.2283897399899,Y,E86,"[176.32808113098145, 183.98399686813354, 297.2283897399899]"
87,PF15,175.57378959655765,176.17126798629766,295.48165512084984,Y,E87,"[175.57378959655765, 176.17126798629766, 295.48165512084984]"
88,PF16,171.95461082458496,213.58028745651296,295.86178207397484,Y,E88,"[171.95461082458496, 213.58028745651296, 295.86178207397484]"
89,PF17,172.38814353942874,203.11149930953974,293.45046615600586,Y,E89,"[172.38814353942874, 203.11149930953974, 293.45046615600586]"
90,PF18,173.62088584899905,194.25240659713745,291.7144737243649,Y,E90,"[173.62088584899905, 194.25240659713745, 291.7144737243649]"
91,PF19,174.00536918640134,185.97747373580935,290.13961410522484,Y,E91,"[174.00536918640134, 185.97747373580935, 290.13961410522484]"
92,PF20,174.43741798400873,179.02611875534055,288.1001701354978,Y,E92,"[174.43741798400873, 179.02611875534055, 288.1001701354978]"
93,ST1,205.56995201110846,239.68035459518396,217.24567794799805,Y,E93,"[205.56995201110846, 239.68035459518396, 217.24567794799805]"
94,ST2,198.88864707946775,240.55443906784095,216.46339797973636,Y,E94,"[198.88864707946775, 240.55443906784095, 216.46339797973636]"
95,ST3,192.29620933532715,241.04427671432495,218.48062515258786,Y,E95,"[192.29620933532715, 241.04427671432495, 218.48062515258786]"
96,ST4,185.71168327331543,242.06202268600495,222.54750442504886,Y,E96,"[185.71168327331543, 242.06202268600495, 222.54750442504886]"
97,ST5,180.74551963806155,241.70037412643396,229.21371078491205,Y,E97,"[180.74551963806155, 241.70037412643396, 229.21371078491205]"
98,ST6,201.50014305114746,229.21674680709793,216.42814254760748,Y,E98,"[201.50014305114746, 229.21674680709793, 216.42814254760748]"
99,ST7,193.86524009704584,230.76346158981295,215.62623214721674,Y,E99,"[193.86524009704584, 230.76346158981295, 215.62623214721674]"
100,ST8,187.66690635681155,231.23908567428595,217.05060195922857,Y,E100,"[187.66690635681155, 231.23908567428595, 217.05060195922857]"
101,ST9,180.69047737121585,232.98149442672695,224.65131759643555,Y,E101,"[180.69047737121585, 232.98149442672695, 224.65131759643555]"
102,ST10,176.71491432189944,231.39269590377796,231.37803268432586,Y,E102,"[176.71491432189944, 231.39269590377796, 231.37803268432586]"
103,ST11,199.88104820251465,220.48206663131697,222.12131881713867,Y,E103,"[199.88104820251465, 220.48206663131697, 222.12131881713867]"
104,ST12,193.02667808532715,221.41309690475495,220.82058334350586,Y,E104,"[193.02667808532715, 221.41309690475495, 220.82058334350586]"
105,ST13,186.26103782653803,222.71914243698095,217.36874008178705,Y,E105,"[186.26103782653803, 222.71914243698095, 217.36874008178705]"
106,ST14,178.95431327819824,223.49141263961795,221.68343734741205,Y,E106,"[178.95431327819824, 223.49141263961795, 221.68343734741205]"
107,ST15,174.06848716735846,223.37772703170793,229.87829208374026,Y,E107,"[174.06848716735846, 223.37772703170793, 229.87829208374026]"
108,ST16,197.20122337341303,211.58249998092697,228.66326522827146,Y,E108,"[197.20122337341303, 211.58249998092697, 228.66326522827146]"
109,ST17,190.26062583923346,212.14411497116095,228.27610397338867,Y,E109,"[190.26062583923346, 212.14411497116095, 228.27610397338867]"
110,ST18,183.36758995056155,213.06911802291896,223.34829330444336,Y,E110,"[183.36758995056155, 213.06911802291896, 223.34829330444336]"
111,ST19,174.93967247009275,215.05111265182495,223.78535842895508,Y,E111,"[174.93967247009275, 215.05111265182495, 223.78535842895508]"
112,ST20,172.05776786804194,216.33929777145397,230.33956527709967,Y,E112,"[172.05776786804194, 216.33929777145397, 230.33956527709967]"
