electrode_number,E_EEG,E_Brain,position,X,Y,Z,label
1,'E1',PI01,"[81.7621688842773, 63.1811294555664, 157.393295288086]",81.7621688842773,63.1811294555664,157.393295288086,1
2,'E2',PI02,"[86.7113647460938, 67.0973052978516, 162.559585571289]",86.7113647460938,67.0973052978516,162.559585571289,1
3,'E3',PI03,"[90.8079986572266, 71.4810028076172, 163.424285888672]",90.8079986572266,71.4810028076172,163.424285888672,1
4,'E4',PI04,"[95.3871459960938, 75.9073486328125, 164.214889526367]",95.3871459960938,75.9073486328125,164.214889526367,1
5,'E5',PI05,"[98.3383331298828, 80.8508682250977, 166.857116699219]",98.3383331298828,80.8508682250977,166.857116699219,1
6,'E6',PI06,"[102.286926269531, 86.3691711425781, 169.378356933594]",102.286926269531,86.3691711425781,169.378356933594,1
7,'E7',PI07,"[105.676048278809, 91.5550842285156, 169.997833251953]",105.676048278809,91.5550842285156,169.997833251953,1
8,'E8',PI08,"[108.969779968262, 97.9673614501953, 167.900146484375]",108.969779968262,97.9673614501953,167.900146484375,1
9,'E9',PI09,"[88.6734008789063, 61.8383445739746, 156.024063110352]",88.6734008789063,61.8383445739746,156.024063110352,1
10,'E10',PI10,"[92.8297119140625, 65.7692337036133, 158.986541748047]",92.8297119140625,65.7692337036133,158.986541748047,1
11,'E11',PI11,"[96.9250030517578, 69.8928985595703, 160.535430908203]",96.9250030517578,69.8928985595703,160.535430908203,1
12,'E12',PI12,"[102.075286865234, 74.9575805664063, 162.738571166992]",102.075286865234,74.9575805664063,162.738571166992,1
13,'E13',PI13,"[104.415008544922, 79.8546371459961, 164.405166625977]",104.415008544922,79.8546371459961,164.405166625977,1
14,'E14',PI14,"[108.492309570313, 85.4738082885742, 165.636810302734]",108.492309570313,85.4738082885742,165.636810302734,1
15,'E15',PI15,"[111.761810302734, 90.2580108642578, 166.390106201172]",111.761810302734,90.2580108642578,166.390106201172,1
16,'E16',PI16,"[114.629257202148, 97.0162048339844, 165.144226074219]",114.629257202148,97.0162048339844,165.144226074219,1
17,'E17',AI01,"[88.4753570556641, 103.813941955566, 172.573852539063]",88.4753570556641,103.813941955566,172.573852539063,1
18,'E18',AI02,"[96.1536560058594, 107.423332214355, 170.680847167969]",96.1536560058594,107.423332214355,170.680847167969,1
19,'E19',AI03,"[101.593238830566, 111.184677124023, 165.977096557617]",101.593238830566,111.184677124023,165.977096557617,1
20,'E20',AI04,"[107.061767578125, 115.195678710938, 162.903823852539]",107.061767578125,115.195678710938,162.903823852539,1
21,'E21',AI05,"[82.0867385864258, 105.290199279785, 174.429626464844]",82.0867385864258,105.290199279785,174.429626464844,1
22,'E22',AI06,"[88.3985366821289, 109.464416503906, 172.0390625]",88.3985366821289,109.464416503906,172.0390625,1
23,'E23',AI07,"[94.0476608276367, 113.574844360352, 168.311065673828]",94.0476608276367,113.574844360352,168.311065673828,1
24,'E24',AI08,"[99.7716674804688, 117.720268249512, 162.892135620117]",99.7716674804688,117.720268249512,162.892135620117,1
25,'E25',PS01,"[43.1299667358398, 47.3822174072266, 95.2733306884766]",43.1299667358398,47.3822174072266,95.2733306884766,2
26,'E26',PS02,"[43.4733428955078, 52.2421760559082, 91.3049774169922]",43.4733428955078,52.2421760559082,91.3049774169922,2
27,'E27',PS03,"[50.0980758666992, 57.4638900756836, 91.6777877807617]",50.0980758666992,57.4638900756836,91.6777877807617,2
28,'E28',PS04,"[54.3339462280273, 65.6192016601563, 93.7549514770508]",54.3339462280273,65.6192016601563,93.7549514770508,2
29,'E29',PS05,"[60.4478378295898, 75.4872741699219, 94.315544128418]",60.4478378295898,75.4872741699219,94.315544128418,2
30,'E30',PS06,"[64.7059326171875, 85.8591156005859, 94.0022735595703]",64.7059326171875,85.8591156005859,94.0022735595703,2
31,'E31',PS07,"[66.0001831054688, 98.0812301635742, 91.0924224853516]",66.0001831054688,98.0812301635742,91.0924224853516,2
32,'E32',PS08,"[62.272274017334, 108.898368835449, 79.7294998168945]",62.272274017334,108.898368835449,79.7294998168945,2
33,'E33',PS09,"[57.6721458435059, 115.889991760254, 68.9565734863281]",57.6721458435059,115.889991760254,68.9565734863281,2
