electrode_number,E_EEG,E_Brain,position,X,Y,Z,label
43,'E43',PS01,"[78.4478988647461, 74.7536087036133, 89.9772872924805]",78.4478988647461,74.7536087036133,89.9772872924805,1
44,'E44',PS02,"[80.5687561035156, 83.297248840332, 86.4893951416016]",80.5687561035156,83.297248840332,86.4893951416016,1
45,'E45',PS03,"[83.2569808959961, 93.703857421875, 80.7384567260742]",83.2569808959961,93.703857421875,80.7384567260742,1
46,'E46',PS04,"[84.9912338256836, 102.669174194336, 67.3405456542969]",84.9912338256836,102.669174194336,67.3405456542969,1
47,'E47',PS05,"[88.2011489868164, 111.525947570801, 64.607536315918]",88.2011489868164,111.525947570801,64.607536315918,1
48,'E48',PS06,"[87.6866302490234, 119.877151489258, 64.7562789916992]",87.6866302490234,119.877151489258,64.7562789916992,1
49,'E49',PS07,"[82.8174667358398, 124.683570861816, 60.536792755127]",82.8174667358398,124.683570861816,60.536792755127,1
50,'E50',PS08,"[75.9184112548828, 128.051300048828, 64.7848739624023]",75.9184112548828,128.051300048828,64.7848739624023,1
51,'E51',AT01,"[59.5385932922363, 118.09008026123, 74.5944900512695]",59.5385932922363,118.09008026123,74.5944900512695,1
52,'E52',AT02,"[62.300178527832, 112.467567443848, 65.745979309082]",62.300178527832,112.467567443848,65.745979309082,1
53,'E53',AT03,"[67.2851181030273, 106.265548706055, 66.9295959472656]",67.2851181030273,106.265548706055,66.9295959472656,1
54,'E54',AT04,"[71.3691864013672, 100.331260681152, 72.5454483032227]",71.3691864013672,100.331260681152,72.5454483032227,1
55,'E55',PT01,"[89.7807006835938, 57.556583404541, 94.9279327392578]",89.7807006835938,57.556583404541,94.9279327392578,1
56,'E56',PT02,"[82.5645294189453, 58.5367774963379, 93.1240844726563]",82.5645294189453,58.5367774963379,93.1240844726563,1
57,'E57',PT03,"[76.4924468994141, 59.9087257385254, 90.4931411743164]",76.4924468994141,59.9087257385254,90.4931411743164,1
58,'E58',PT04,"[69.7928237915039, 61.4735794067383, 87.5051345825195]",69.7928237915039,61.4735794067383,87.5051345825195,1
59,'E59',PT05,"[62.4985656738281, 63.6953010559082, 84.8727264404297]",62.4985656738281,63.6953010559082,84.8727264404297,1
60,'E60',PT06,"[53.7103118896484, 67.104377746582, 81.5688400268555]",53.7103118896484,67.104377746582,81.5688400268555,1
61,'E61',PT07,"[46.3967323303223, 70.9422149658203, 86.4257278442383]",46.3967323303223,70.9422149658203,86.4257278442383,1
62,'E62',PT08,"[40.3720932006836, 75.4951629638672, 95.2947692871094]",40.3720932006836,75.4951629638672,95.2947692871094,1
63,'E63',PT09,"[39.3730659484863, 79.5947189331055, 105.932327270508]",39.3730659484863,79.5947189331055,105.932327270508,1
64,'E64',PT10,"[36.4297943115234, 85.3643264770508, 117.850898742676]",36.4297943115234,85.3643264770508,117.850898742676,1
65,'E65',FP01,"[92.5943603515625, 139.560607910156, 159.877746582031]",92.5943603515625,139.560607910156,159.877746582031,0
66,'E66',FP02,"[91.5262756347656, 132.585968017578, 162.507446289063]",91.5262756347656,132.585968017578,162.507446289063,0
67,'E67',FP03,"[87.5929412841797, 125.362777709961, 166.09162902832]",87.5929412841797,125.362777709961,166.09162902832,0
68,'E68',FP04,"[83.3167724609375, 117.048889160156, 170.142364501953]",83.3167724609375,117.048889160156,170.142364501953,0
69,'E69',FP05,"[82.8153686523438, 108.842681884766, 172.126037597656]",82.8153686523438,108.842681884766,172.126037597656,0
70,'E70',FP06,"[82.8157806396484, 100.96711730957, 173.82292175293]",82.8157806396484,100.96711730957,173.82292175293,0
71,'E71',FP07,"[83.8468475341797, 89.4290008544922, 173.318252563477]",83.8468475341797,89.4290008544922,173.318252563477,0
72,'E72',FP08,"[83.8839340209961, 79.0730895996094, 174.206619262695]",83.8839340209961,79.0730895996094,174.206619262695,0
