electrode_number,E_EEG,E_Brain,a,b,c,position_marker,position,label,name
11,E11,SF1,158.47287559345216,269.6323556751587,229.26445195568846,Y,"[158.47287559345216, 269.6323556751587, 229.26445195568846]",101,L. Frontal Lobe
12,E12,SF2,154.16374778345215,267.0578927751587,230.84013555568848,Y,"[154.16374778345215, 267.0578927751587, 230.84013555568848]",101,L. Frontal Lobe
13,E13,SF3,149.39782524345213,264.0636605751587,235.02829165568846,Y,"[149.39782524345213, 264.0636605751587, 235.02829165568846]",101,L. Frontal Lobe
14,E14,SF4,146.67407035345215,260.2817086751587,239.75006295568846,Y,"[146.67407035345215, 260.2817086751587, 239.75006295568846]",101,L. Frontal Lobe
15,E15,SF5,142.29974937345216,258.33473297515866,247.57741735568848,Y,"[142.29974937345216, 258.33473297515866, 247.57741735568848]",101,L. Frontal Lobe
16,E16,SF6,163.02557945345217,262.62524507515866,228.0230045556885,Y,"[163.02557945345217, 262.62524507515866, 228.0230045556885]",101,L. Frontal Lobe
17,E17,SF7,156.87278938345216,261.5702523751587,228.95199015568846,Y,"[156.87278938345216, 261.5702523751587, 228.95199015568846]",101,L. Frontal Lobe
18,E18,SF8,151.70857811345215,259.3727731751587,232.0978031556885,Y,"[151.70857811345215, 259.3727731751587, 232.0978031556885]",101,L. Frontal Lobe
19,E19,SF9,148.17682075345215,255.01764007515868,237.85935405568847,Y,"[148.17682075345215, 255.01764007515868, 237.85935405568847]",101,L. Frontal Lobe
20,E20,SF10,144.29442405345213,251.6784982751587,244.1677341556885,Y,"[144.29442405345213, 251.6784982751587, 244.1677341556885]",101,L. Frontal Lobe
21,E21,PS1,169.23238182345216,209.5315561751587,189.13958930568847,Y,"[169.23238182345216, 209.5315561751587, 189.13958930568847]",301,L. Temporal Lobe
22,E22,PS2,174.01946830345213,213.3540582751587,198.34705543568847,Y,"[174.01946830345213, 213.3540582751587, 198.34705543568847]",301,L. Temporal Lobe
23,E23,PS3,176.21965599345214,224.18353367515869,198.51053047568848,Y,"[176.21965599345214, 224.18353367515869, 198.51053047568848]",300,R. Temporal Lobe
24,E24,PS4,176.81656456345215,240.78665257515868,191.38134956568848,Y,"[176.81656456345215, 240.78665257515868, 191.38134956568848]",300,R. Temporal Lobe
25,E25,PS5,174.56884575345214,249.7492990751587,195.93019294568847,Y,"[174.56884575345214, 249.7492990751587, 195.93019294568847]",100,R. Frontal Lobe
26,E26,PS6,168.66904258345215,256.4515237751587,201.48546791568847,Y,"[168.66904258345215, 256.4515237751587, 201.48546791568847]",101,L. Frontal Lobe
27,E27,PS7,160.85451316345214,260.1985177751587,209.65316200568847,Y,"[160.85451316345214, 260.1985177751587, 209.65316200568847]",101,L. Frontal Lobe
28,E28,PS8,151.79307365345215,252.1811532751587,227.79167365568847,Y,"[151.79307365345215, 252.1811532751587, 227.79167365568847]",101,L. Frontal Lobe
29,E29,AT1,154.05462455345216,219.06462197515867,195.96331214568846,Y,"[154.05462455345216, 219.06462197515867, 195.96331214568846]",301,L. Temporal Lobe
30,E30,AT2,145.25687599345216,221.75669957515868,197.89638709568848,Y,"[145.25687599345216, 221.75669957515868, 197.89638709568848]",301,L. Temporal Lobe
31,E31,AT3,140.53899955345216,223.60694217515868,203.24171638568848,Y,"[140.53899955345216, 223.60694217515868, 203.24171638568848]",301,L. Temporal Lobe
32,E32,AT4,137.89934349345214,226.8855905751587,210.2687015556885,Y,"[137.89934349345214, 226.8855905751587, 210.2687015556885]",301,L. Temporal Lobe
33,E33,AT5,135.94239998345216,229.2424707751587,216.57914161568846,Y,"[135.94239998345216, 229.2424707751587, 216.57914161568846]",301,L. Temporal Lobe
34,E34,AT6,136.07095909345213,231.7579354751587,224.62578775568846,Y,"[136.07095909345213, 231.7579354751587, 224.62578775568846]",301,L. Temporal Lobe
35,E35,PT1,216.42149921345214,183.1075448951587,173.66250038568847,Y,"[216.42149921345214, 183.1075448951587, 173.66250038568847]",300,R. Temporal Lobe
36,E36,PT2,205.24068261345215,183.5696115451587,176.73744392568847,Y,"[205.24068261345215, 183.5696115451587, 176.73744392568847]",300,R. Temporal Lobe
37,E37,PT3,177.60611534345213,169.9442071951587,174.07366371568847,Y,"[177.60611534345213, 169.9442071951587, 174.07366371568847]",400,R. Occipital Lobe
