start,startPosition,frequency
11,"[60.28677368, 160.8241577, 110.6608505]",13
92,"[51.61279297, 68.16239166, 169.7157898]",16
77,"[40.96482849, 84.51644135, 159.3578491]",32
110,"[33.60301971, 113.0844498, 127.6641922]",25
96,"[61.06736755, 107.1714401, 179.7997131]",8
71,"[42.56768036, 109.0180054, 158.2352905]",35
69,"[37.74136353, 88.42960358, 152.3104248]",9
91,"[53.56635666, 57.96323395, 167.4579163]",8
70,"[38.61865616, 99.38539124, 155.8343048]",43
78,"[43.03504944, 94.88861084, 162.0728912]",35
79,"[46.01379776, 104.5724182, 166.0837097]",27
118,"[32.5107193, 107.2374268, 133.7828674]",28
59,"[61.01449585, 164.7238617, 161.7114258]",35
64,"[53.52826309, 158.8329773, 158.2172852]",23
75,"[41.41545105, 63.59588242, 153.7163696]",6
83,"[46.60237122, 60.04891205, 160.5887146]",14
57,"[59.63084793, 175.063736, 149.9863586]",30
39,"[59.72214127, 62.80955505, 65.33495331]",6
84,"[45.83430099, 71.89839172, 163.7348938]",5
76,"[38.3068924, 73.96008301, 156.2806091]",9
85,"[46.25086975, 81.35145569, 166.1690979]",28
87,"[49.53035736, 99.92474365, 171.1462555]",26
81,"[58.59506226, 43.15229034, 152.1497955]",26
72,"[44.20722198, 119.0409088, 160.3303223]",29
89,"[63.97809601, 42.09529877, 158.5378723]",14
58,"[59.44711685, 171.0057678, 156.4195709]",16
80,"[47.95235062, 114.578186, 168.8221741]",23
60,"[58.11058807, 179.6183167, 132.4685059]",17
88,"[54.26541901, 110.3771667, 173.8651886]",23
95,"[56.42819214, 97.26829529, 177.4585419]",18
90,"[57.71652222, 49.43274689, 163.1681366]",6
62,"[52.44224548, 170.8167877, 146.372757]",21
16,"[64.83947754, 153.8170471, 109.4194031]",6
19,"[49.99071884, 146.2094421, 119.2557526]",4
13,"[51.21172333, 155.2554626, 116.4246902]",10
93,"[53.16075134, 77.81087494, 171.5006256]",5
111,"[37.79614639, 122.8765488, 130.7914734]",27
63,"[51.2840004, 165.7919006, 152.2144318]",12
100,"[35.30825043, 95.48200989, 113.3798218]",1
18,"[53.5224762, 150.5645752, 113.4942017]",10
104,"[40.50615692, 136.464386, 128.2812347]",2
120,"[39.7204895, 128.117981, 141.1881561]",7
82,"[51.80251312, 50.55010223, 156.5683746]",8
74,"[47.07555389, 53.91043854, 149.5325928]",15
113,"[43.21297455, 64.83757019, 116.3175049]",2
14,"[48.48796844, 151.4735107, 121.1464615]",3
61,"[55.12334442, 175.8678894, 138.8725739]",7
94,"[54.0082016, 87.26881409, 174.2900696]",2
45,"[120.5362473, 44.73541641, 83.17926025]",3
119,"[35.56945419, 117.6499405, 136.7276917]",24
15,"[44.11364746, 149.526535, 128.9738159]",2
55,"[66.18732452, 184.2788849, 136.6307373]",6
117,"[33.1611557, 96.23550415, 129.6477661]",3
102,"[35.51337051, 117.5408096, 121.3166046]",5
109,"[32.83508301, 101.4815216, 122.8433228]",2
112,"[40.14897156, 133.2258759, 134.9244537]",3
86,"[47.44469452, 90.94404602, 168.2020874]",4
20,"[46.10832214, 142.8703003, 125.5641327]",3
56,"[61.64362335, 180.326355, 143.5522919]",2
37,"[79.42001343, 61.13600922, 55.47006226]",1
66,"[45.58192825, 57.99104691, 140.4496765]",1
40,"[54.50421906, 66.29293823, 72.03175354]",3
22,"[75.83336639, 104.5458603, 79.74345398]",1
41,"[49.3511467, 70.0541687, 80.31544495]",1
17,"[58.68668747, 152.7620544, 110.3483887]",1
