electrode_number,E_EEG,E_Brain,position,position_marker,x,y,z,newX,newY,newZ,newPosition
11,E11,PS1,"[60.2867736816406,160.824157714844,110.660850524902]",Y,138.1157837,166.8153687,110.1925659,138.5820007,164.0650024,116.2009964,"[138.5820007, 164.0650024, 116.2009964]"
12,E12,PS2,"[55.9776458740234,158.249694824219,112.236534118652]",Y,142.1681213,181.2906494,112.6060028,136.7129974,176.9859924,121.0970001,"[136.7129974, 176.9859924, 121.0970001]"
13,E13,PS3,"[51.2117233276367,155.255462646484,116.424690246582]",Y,141.5100708,183.282074,121.5120697,138.2689972,179.3699951,124.5009995,"[138.2689972, 179.3699951, 124.5009995]"
19,E19,AT1,"[48.4879684448242,151.473510742188,121.146461486816]",Y,134.5251617,137.6304016,79.41387939,134.6849976,137.822998,78.49230194,"[134.6849976, 137.822998, 78.49230194]"
20,E20,AT2,"[44.1136474609375,149.526535034180,128.973815917969]",Y,139.9032593,145.456604,83.08189392,140.0559998,145.1410065,84.12349701,"[140.0559998, 145.1410065, 84.12349701]"
21,E21,AT3,"[64.8394775390625,153.817047119141,109.419403076172]",Y,143.3705139,148.8623962,92.48596191,142.5160065,147.1289978,93.29720306,"[142.5160065, 147.1289978, 93.29720306]"
22,E22,AT4,"[58.6866874694824,152.762054443359,110.348388671875]",Y,144.0414734,150.0056458,101.7858505,143.3869934,149.6640015,102.2060013,"[143.3869934, 149.6640015, 102.2060013]"
23,E23,AT5,"[53.5224761962891,150.564575195313,113.494201660156]",Y,149.8809662,157.5354614,109.6044388,145.7480011,157.0390015,116.197998,"[145.7480011, 157.0390015, 116.197998]"
24,E24,AT6,"[49.9907188415527,146.209442138672,119.255752563477]",Y,154.6479797,163.5074158,117.4367676,148.8009949,159.6040039,120.5230026,"[148.8009949, 159.6040039, 120.5230026]"
25,E25,PT1,"[46.1083221435547,142.870300292969,125.564132690430]",Y,154.7586365,110.2639618,85.93899536,155.4539948,109.9759979,85.88490295,"[155.4539948, 109.9759979, 85.88490295]"
26,E26,PT2,"[71.0462799072266,100.723358154297,70.5359878540039]",Y,158.4538727,115.5662003,92.22682953,158.6600037,115.6110001,92.19029999,"[158.6600037, 115.6110001, 92.19029999]"
27,E27,PT3,"[75.8333663940430,104.545860290527,79.7434539794922]",Y,160.5166016,119.6057968,100.3088913,160.3609924,119.6360016,100.2890015,"[160.3609924, 119.6360016, 100.2890015]"
28,E28,PT4,"[78.0335540771484,115.375335693359,79.9069290161133]",Y,161.8120728,123.1731873,108.8243713,160.3939972,122.9380035,108.288002,"[160.3939972, 122.9380035, 108.288002]"
29,E29,PT5,"[78.6304626464844,131.978454589844,72.7777481079102]",Y,162.1167908,126.2849579,115.7310181,159.5350037,125.0319977,115.5070038,"[159.5350037, 125.0319977, 115.5070038]"
30,E30,PT6,"[76.3827438354492,140.941101074219,77.3265914916992]",Y,160.2888489,129.866394,123.635498,158.427002,127.9219971,122.7289963,"[158.427002, 127.9219971, 122.7289963]"
